dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1992-12-01,20541.02,1992-12-01,26.52,-0.13,18113715.681818184,0.0011340036666589754
1993-01-01,110148.48,1993-01-01,26.77,0.09,18146526.363636363,0.006069948473484457
1993-02-01,33559.42,1993-02-01,27.18,0.3,18179337.045454547,0.0018460200125059564
1993-03-01,721309.38,1993-03-01,27.75,0.5,18208972.5,0.03961285459682033
1993-04-01,530717.27,1993-04-01,28.27,0.67,18241783.181818184,0.029093497313846632
1993-05-01,2231083.14,1993-05-01,28.4,0.7,18273535.454545453,0.12209367724979728
1993-06-01,5395309.81,1993-06-01,28.1,0.57,18306346.136363637,0.29472346746917355
1993-07-01,102589.54000000001,1993-07-01,27.53,0.32,18338098.40909091,0.0055943390482157285
1993-08-01,162553.88,1993-08-01,27.19,0.25,18370909.09090909,0.008848439627870151
1993-09-01,18704.4,1993-09-01,26.94,0.15,18403719.772727273,0.0010163380137812308
1993-10-01,816382.54,1993-10-01,26.85,0.1,18435472.045454547,0.044283245798487025
1993-11-01,97572.49,1993-11-01,26.75,0.04,18468282.727272727,0.005283246495675067
1993-12-01,22111.21,1993-12-01,26.71,0.06,18500035.0,0.0011951982793546067
1994-01-01,414698.26,1994-01-01,26.74,0.06,18532845.681818184,0.022376394166322956
1994-02-01,501309.52,1994-02-01,26.95,0.07,18565656.363636363,0.027001982056604812
1994-03-01,113546.92,1994-03-01,27.43,0.17,18595291.818181816,0.006106218773559545
1994-04-01,63364.12,1994-04-01,27.9,0.31,18628102.5,0.003401533784774912
1994-05-01,1341903.4,1994-05-01,28.12,0.42,18659854.772727273,0.07191392518023713
1994-06-01,64380.82,1994-06-01,27.94,0.41,18692665.454545453,0.0034441754792302595
1994-07-01,637367.13,1994-07-01,27.65,0.44,18724417.727272727,0.03403935648539041
1994-08-01,341676.13,1994-08-01,27.37,0.43,18757228.40909091,0.018215704503251808
1994-09-01,380579.45,1994-09-01,27.35,0.55,18790039.09090909,0.02025431922513297
1994-10-01,221644256.58,1994-10-01,27.49,0.74,18821791.363636363,11.775938448038264
1994-11-01,139547.78,1994-11-01,27.71,1.01,18854602.045454547,0.00740125830625219
1994-12-01,542960.76,1994-12-01,27.74,1.09,18886354.318181816,0.028748839021689534
1995-01-01,406296.22,1995-01-01,27.64,0.96,18919165.0,0.02147537800954746
1995-02-01,20537.44,1995-02-01,27.61,0.72,18951975.681818184,0.0010836569413553464
1995-03-01,752994.39,1995-03-01,27.79,0.53,18981611.136363637,0.03966967738357395
1995-04-01,504375.42,1995-04-01,27.9,0.3,19014421.818181816,0.02652594040580872
